,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
21899,Farming,group,Cambodia,KH,shared,field_partner,13,600,English,monthly,Agriculture,funded,14,0.204
21900,Food Production/Sales,female,Kenya,KE,shared,field_partner,19,600,English,monthly,Food,funded,13,0.02
21901,Food Stall,female,Timor-Leste,TL,not shared,field_partner,24,600,English,monthly,Food,funded,15,0.044
21902,Services,male,El Salvador,SV,shared,field_partner,6,500,Spanish,monthly,Services,not_funded,14,0.077
21903,Cosmetics Sales,group,Peru,PE,shared,field_partner,2,1475,Spanish,irregular,Retail,funded,6,0
21904,Animal Sales,female,Peru,PE,shared,field_partner,3,425,Spanish,monthly,Agriculture,funded,8,0.069
21905,Beverages,group,Ghana,GH,shared,field_partner,22,1375,English,irregular,Food,not_funded,9,0.058
21906,Weaving,female,Philippines,PH,shared,field_partner,23,650,English,irregular,Arts,funded,8,0.054
21907,Agriculture,male,El Salvador,SV,shared,field_partner,15,400,Spanish,bullet,Agriculture,funded,14,0.077
21908,Farming,female,Kenya,KE,shared,field_partner,16,400,English,monthly,Agriculture,funded,14,0.509
21909,Pigs,female,Cambodia,KH,not shared,field_partner,12,375,English,monthly,Agriculture,funded,1 Year,0.16
21910,Farming,group,Cambodia,KH,shared,field_partner,23,600,English,monthly,Agriculture,funded,14,0.274
21911,Clothing Sales,male,Tajikistan,TJ,shared,field_partner,19,975,Russian,monthly,Clothing,not_funded,14,0.021
21912,General Store,female,El Salvador,SV,shared,field_partner,10,275,Spanish,monthly,Retail,funded,14,0.077
21913,Pharmacy,male,Tajikistan,TJ,not shared,field_partner,54,1825,English,monthly,Health,funded,8,0.021
21914,Beauty Salon,female,Tajikistan,TJ,shared,field_partner,18,550,Russian,monthly,Services,funded,14,0.086
21915,Clothing Sales,female,El Salvador,SV,not shared,field_partner,46,1200,Spanish,monthly,Clothing,funded,20,0.054
21916,Food,female,Sierra Leone,SL,shared,field_partner,25,700,English,monthly,Food,funded,1 Year,0.319
21917,Construction,female,Nicaragua,NI,not shared,field_partner,37,1025,Spanish,monthly,Construction,funded,14,0.082
21918,Pigs,female,Philippines,PH,not shared,field_partner,6,200,English,bullet,Agriculture,funded,7,0.055
21919,Fuel/Firewood,female,Kenya,KE,shared,field_partner,13,425,English,irregular,Retail,funded,14,0.075
21920,Home Energy,female,Zambia,ZM,shared,field_partner,14,375,English,monthly,Personal Use,funded,13,0.369
21921,Farming,group,Guatemala,GT,shared,field_partner,71,2525,Spanish,bullet,Agriculture,funded,14,0.067
21922,Vehicle,male,Cambodia,KH,shared,field_partner,35,1000,English,monthly,Personal Use,funded,20,0.121
21923,Cobbler,male,Ecuador,EC,shared,field_partner,31,1625,Spanish,monthly,Services,not_funded,17,0.003
21924,Retail,female,Philippines,PH,shared,field_partner,10,325,English,irregular,Retail,funded,11,0.055
21925,Personal Expenses,female,Nicaragua,NI,shared,field_partner,13,650,Spanish,monthly,Personal Use,not_funded,15,0.112
21926,Clothing Sales,group,Dominican Republic,DO,shared,field_partner,29,975,Spanish,monthly,Clothing,not_funded,11,0.039
21927,Crafts,female,Guatemala,GT,not shared,field_partner,31,950,Spanish,monthly,Arts,funded,20,0.082
21928,Food Production/Sales,male,Mongolia,MN,shared,field_partner,73,2100,English,monthly,Food,funded,14,0.006
21929,Fruits & Vegetables,group,Nicaragua,NI,shared,field_partner,53,1775,Spanish,monthly,Food,funded,8,0.161
21930,Call Center,female,Bolivia,BO,shared,field_partner,12,300,Spanish,irregular,Services,funded,8,0.077
21931,Pigs,female,Philippines,PH,shared,field_partner,8,300,English,irregular,Agriculture,funded,11,0.055
21932,Poultry,female,Madagascar,MG,shared,field_partner,13,325,French,monthly,Agriculture,funded,11,0.357
21933,Fish Selling,female,Sierra Leone,SL,shared,field_partner,35,1175,English,monthly,Food,funded,8,0.319
21934,Food Production/Sales,male,Philippines,PH,shared,field_partner,24,1150,English,irregular,Food,funded,8,0.039
21935,Farming,group,Indonesia,ID,shared,field_partner,55,1675,English,irregular,Agriculture,funded,8,0.042
21936,Quarrying,female,Uganda,UG,shared,field_partner,4,125,English,irregular,Construction,funded,8,0.013
21937,Clothing,female,Ecuador,EC,not shared,field_partner,16,875,Spanish,monthly,Clothing,not_funded,14,0.054
21938,Food Production/Sales,group,Nicaragua,NI,shared,field_partner,65,1800,Spanish,monthly,Food,funded,7,0.077
21939,Food Stall,group,Ghana,GH,shared,field_partner,40,1000,English,irregular,Food,funded,8,0.058
21940,Services,group,Afghanistan,AF,not shared,field_partner,23,650,English,monthly,Services,funded,11,0.117
21941,Cloth & Dressmaking Supplies,female,Ghana,GH,shared,field_partner,28,975,English,irregular,Retail,funded,1 Year,0.058
21942,Personal Housing Expenses,male,Mongolia,MN,shared,field_partner,15,1500,English,monthly,Housing,not_funded,15,0.006
21943,Farming,male,Kenya,KE,shared,field_partner,3,400,English,irregular,Agriculture,not_funded,14,0.509
21944,Beauty Salon,female,Uganda,UG,not shared,field_partner,21,650,English,monthly,Services,funded,14,0.013
21945,Farming,female,Nigeria,NG,shared,field_partner,16,500,English,bullet,Agriculture,funded,15,0.311
21946,Cattle,group,Peru,PE,shared,field_partner,29,4050,Spanish,monthly,Agriculture,funded,8,0.062
21947,Home Appliances,male,Lebanon,LB,not shared,field_partner,34,1500,English,monthly,Personal Use,funded,14,0.003
21948,Food Production/Sales,female,Guatemala,GT,shared,field_partner,8,350,Spanish,monthly,Food,funded,14,0.067
21949,Cosmetics Sales,female,Kenya,KE,shared,field_partner,4,275,English,irregular,Retail,funded,14,0.02
21950,Home Energy,female,Philippines,PH,shared,field_partner,2,50,English,irregular,Personal Use,funded,14,0.054
21951,Higher education costs,male,Jordan,JO,shared,field_partner,28,1425,English,monthly,Education,not_funded,21,0.011
21952,Fish Selling,female,Philippines,PH,shared,field_partner,1,175,English,irregular,Food,funded,8,0.055
21953,Clothing Sales,group,Zimbabwe,ZW,shared,field_partner,74,2750,English,monthly,Clothing,funded,8,0.024
21954,Higher education costs,female,Cambodia,KH,shared,field_partner,24,1275,English,bullet,Education,funded,11,0.16
21955,Motorcycle Transport,male,Kenya,KE,shared,field_partner,12,500,English,monthly,Transportation,funded,14,0.223
21956,Food,female,Philippines,PH,shared,field_partner,1,275,English,irregular,Food,funded,8,0.054
21957,Metal Shop,male,Colombia,CO,not shared,field_partner,20,550,Spanish,monthly,Manufacturing,funded,15,0.009
21958,Clothing Sales,female,Tajikistan,TJ,not shared,field_partner,33,1175,Russian,irregular,Clothing,funded,9,0.021
21959,Pigs,female,Philippines,PH,shared,field_partner,17,450,English,irregular,Agriculture,funded,11,0.055
21960,Livestock,female,El Salvador,SV,shared,field_partner,19,500,Spanish,monthly,Agriculture,funded,14,0.077
21961,Used Clothing,group,Kenya,KE,shared,field_partner,13,350,English,irregular,Clothing,funded,20,0.02
21962,General Store,female,Philippines,PH,shared,field_partner,2,300,English,irregular,Retail,funded,5,0.091
21963,Fish Selling,group,Burkina Faso,BF,shared,field_partner,28,775,French,irregular,Food,funded,6,0.459
21964,Retail,male,Yemen,YE,shared,field_partner,11,475,English,irregular,Retail,not_funded,38,0.343
21965,Clothing Sales,group,Guatemala,GT,shared,field_partner,43,1075,Spanish,monthly,Clothing,funded,8,0.082
21966,Fuel/Firewood,group,Uganda,UG,shared,field_partner,15,2825,English,monthly,Retail,not_funded,10,0.013
21967,Hardware,female,Nicaragua,NI,not shared,field_partner,41,1125,Spanish,monthly,Retail,funded,15,0.161
21968,Milk Sales,female,Jordan,JO,shared,field_partner,25,1150,English,monthly,Food,funded,18,0.005
21969,Cereals,female,Togo,TG,shared,field_partner,5,125,French,irregular,Food,funded,6,0.067
21970,Livestock,female,Peru,PE,not shared,field_partner,34,925,Spanish,monthly,Agriculture,funded,7,0.069
21971,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.353
21972,Metal Shop,male,El Salvador,SV,shared,field_partner,33,900,Spanish,monthly,Manufacturing,funded,20,0.054
21973,Used Clothing,female,Bolivia,BO,shared,field_partner,22,1500,Spanish,monthly,Clothing,not_funded,20,0.043
21974,Motorcycle Transport,male,Kenya,KE,shared,field_partner,12,300,English,irregular,Transportation,funded,14,0.075
21975,Fruits & Vegetables,group,Malawi,MW,shared,field_partner,15,1525,English,irregular,Food,funded,6,0.314
21976,Crafts,female,Indonesia,ID,not shared,field_partner,11,550,Indonesian,monthly,Arts,funded,14,0.042
21977,General Store,female,Timor-Leste,TL,not shared,field_partner,29,800,English,monthly,Retail,funded,14,0.508
21978,Farming,female,Philippines,PH,shared,field_partner,29,800,English,irregular,Agriculture,funded,11,0.497
21979,Fish Selling,female,Philippines,PH,shared,field_partner,7,200,English,irregular,Food,funded,7,0.039
21980,Fish Selling,female,Togo,TG,shared,field_partner,4,125,French,irregular,Food,funded,9,0.067
21981,Farming,male,Nigeria,NG,shared,field_partner,5,125,English,bullet,Agriculture,funded,20,0.311
21982,Farming,group,Guatemala,GT,shared,field_partner,17,550,Spanish,monthly,Agriculture,funded,14,0.082
21983,Fruits & Vegetables,female,Uganda,UG,shared,field_partner,11,500,English,irregular,Food,funded,10,0.013
21984,Services,male,Bolivia,BO,not shared,field_partner,29,800,Spanish,monthly,Services,funded,14,0.077
21985,Food Production/Sales,group,Guatemala,GT,shared,field_partner,19,625,Spanish,monthly,Food,funded,14,0.082
21986,General Store,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Retail,funded,8,0.055
21987,Cereals,female,Uganda,UG,shared,field_partner,19,550,English,irregular,Food,funded,5,0.013
21988,Farming,male,Kenya,KE,shared,field_partner,16,475,English,monthly,Agriculture,funded,14,0.509
21989,Clothing Sales,female,Pakistan,PK,shared,field_partner,27,675,English,monthly,Clothing,funded,14,0.039
21990,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,19,500,Spanish,monthly,Housing,funded,15,0.077
21991,Pigs,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Agriculture,funded,8,0.039
21992,Services,male,Indonesia,ID,shared,field_partner,6,1050,English,bullet,Services,not_funded,14,0.075
21993,Grocery Store,female,Uganda,UG,shared,field_partner,40,1025,English,monthly,Food,funded,14,0.013
21994,General Store,female,El Salvador,SV,shared,field_partner,10,600,Spanish,monthly,Retail,not_funded,18,0.077
21995,General Store,male,El Salvador,SV,shared,field_partner,16,1000,Spanish,monthly,Retail,not_funded,20,0.054
21996,Cosmetics Sales,group,The Democratic Republic of the Congo,CD,shared,field_partner,122,10000,French,monthly,Retail,funded,8,0.034
21997,Phone Use Sales,male,Sierra Leone,SL,shared,field_partner,24,800,English,monthly,Retail,funded,8,0.449
21998,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Housing,funded,13,0.055
21999,Spare Parts,male,Uganda,UG,shared,field_partner,12,1200,English,monthly,Retail,not_funded,14,0.417
22000,Wholesale,female,Pakistan,PK,shared,field_partner,8,200,English,monthly,Wholesale,funded,13,0.039
22001,General Store,female,Philippines,PH,shared,field_partner,9,1000,English,irregular,Retail,funded,8,0.422
22002,Fruits & Vegetables,male,Colombia,CO,not shared,field_partner,24,700,Spanish,monthly,Food,funded,14,0.005
22003,Cattle,male,El Salvador,SV,shared,field_partner,35,1000,Spanish,irregular,Agriculture,funded,20,0.077
22004,Higher education costs,female,Tajikistan,TJ,shared,field_partner,22,575,Russian,monthly,Education,funded,14,0.033
22005,Farming,male,Nigeria,NG,shared,field_partner,3,100,English,bullet,Agriculture,funded,14,0.311
22006,Used Clothing,female,Sierra Leone,SL,shared,field_partner,31,950,English,monthly,Clothing,funded,1 Year,0.319
22007,Food Stall,female,Kenya,KE,shared,field_partner,10,575,English,irregular,Food,funded,13,0.075
22008,General Store,female,Philippines,PH,shared,field_partner,18,475,English,irregular,Retail,funded,7,0.422
22009,General Store,female,Philippines,PH,shared,field_partner,16,575,English,irregular,Retail,funded,14,0.055
22010,Food Production/Sales,female,Philippines,PH,shared,field_partner,1,300,English,irregular,Food,funded,13,0.055
22011,Food Market,female,Sierra Leone,SL,shared,field_partner,10,275,English,irregular,Food,funded,7,0.319
22012,Home Appliances,group,Cambodia,KH,shared,field_partner,9,225,English,monthly,Personal Use,funded,8,0.696
22013,Personal Expenses,male,Nigeria,NG,shared,field_partner,5,575,English,bullet,Personal Use,not_funded,15,0.311
22014,Retail,group,Dominican Republic,DO,shared,field_partner,109,4400,English,irregular,Retail,funded,7,0.039
22015,Bakery,male,Nicaragua,NI,shared,field_partner,20,525,Spanish,monthly,Food,funded,14,0.077
22016,Farming,male,Kenya,KE,shared,field_partner,9,300,English,monthly,Agriculture,funded,14,0.509
22017,Pigs,female,Kenya,KE,shared,field_partner,3,200,English,monthly,Agriculture,funded,11,0.02
22018,Grocery Store,female,Guatemala,GT,shared,field_partner,22,800,Spanish,monthly,Food,not_funded,20,0.082
22019,Cloth & Dressmaking Supplies,male,Togo,TG,shared,field_partner,25,950,English,monthly,Retail,funded,14,0.067
22020,Arts,female,Nepal,NP,shared,field_partner,12,300,English,monthly,Arts,funded,14,0.094
22021,Retail,female,Bolivia,BO,not shared,field_partner,32,1000,Spanish,monthly,Retail,funded,15,0.105
22022,Services,male,Bolivia,BO,shared,field_partner,40,1175,English,monthly,Services,not_funded,26,0.077
22023,Clothing Sales,group,Guatemala,GT,shared,field_partner,23,775,Spanish,monthly,Clothing,funded,11,0.082
22024,Cloth & Dressmaking Supplies,group,Mali,ML,shared,field_partner,37,1575,French,monthly,Retail,funded,8,0.484
22025,Farming,female,Philippines,PH,shared,field_partner,8,200,English,irregular,Agriculture,funded,7,0.055
22026,General Store,female,Pakistan,PK,shared,field_partner,10,250,English,monthly,Retail,funded,13,0.039
22027,Jewelry,male,Nicaragua,NI,shared,field_partner,30,1000,Spanish,monthly,Retail,funded,14,0.161
22028,Personal Housing Expenses,female,Vietnam,VN,shared,field_partner,14,375,English,irregular,Housing,funded,13,0.013
22029,Food Production/Sales,female,Kenya,KE,shared,field_partner,7,200,English,irregular,Food,funded,14,0.075
22030,Clothing Sales,female,Tajikistan,TJ,not shared,field_partner,90,2500,Russian,monthly,Clothing,funded,14,0.086
22031,Restaurant,male,Rwanda,RW,shared,field_partner,34,900,English,monthly,Food,funded,10,0.292
22032,General Store,female,Philippines,PH,not shared,field_partner,6,225,English,irregular,Retail,funded,11,0.093
22033,Farming,female,Nigeria,NG,shared,field_partner,3,75,English,bullet,Agriculture,funded,14,0.311
22034,Higher education costs,female,India,IN,shared,field_partner,13,325,English,bullet,Education,funded,43,0.121
22035,Sewing,female,Nicaragua,NI,shared,field_partner,21,625,Spanish,monthly,Services,funded,14,0.112
22036,Fish Selling,female,Philippines,PH,not shared,field_partner,10,275,English,irregular,Food,funded,7,0.055
22037,Grocery Store,female,Kenya,KE,shared,field_partner,1,200,English,irregular,Food,funded,8,0.075
22038,Motorcycle Repair,male,Cambodia,KH,not shared,field_partner,10,300,English,monthly,Services,funded,1 Year,0.204
22039,Higher education costs,male,Bolivia,BO,not shared,field_partner,49,1475,English,monthly,Education,funded,38,0.145
22040,Agriculture,female,Bolivia,BO,shared,field_partner,27,875,Spanish,irregular,Agriculture,funded,15,0.105
22041,Retail,female,Mongolia,MN,shared,field_partner,28,725,English,monthly,Retail,funded,14,0.006
22042,Pigs,male,El Salvador,SV,shared,field_partner,18,1500,Spanish,bullet,Agriculture,not_funded,14,0.077
22043,Retail,male,Peru,PE,shared,field_partner,7,1150,Spanish,monthly,Retail,not_funded,14,0.089
22044,Poultry,group,Uganda,UG,not shared,field_partner,68,2000,English,monthly,Agriculture,funded,14,0.013
22045,Personal Expenses,male,Nigeria,NG,shared,field_partner,4,375,English,bullet,Personal Use,not_funded,15,0.311
22046,General Store,female,Uganda,UG,shared,field_partner,7,1225,English,monthly,Retail,not_funded,14,0.013
22047,General Store,female,Honduras,HN,shared,field_partner,39,1075,English,monthly,Retail,funded,19,0.112
22048,Retail,female,Nicaragua,NI,not shared,field_partner,8,725,Spanish,monthly,Retail,funded,8,0.161
22049,Fishing,female,Philippines,PH,shared,field_partner,46,1150,English,irregular,Food,funded,13,0.055
22050,Farming,male,Nigeria,NG,shared,field_partner,8,200,English,bullet,Agriculture,funded,19,0.311
22051,Grocery Store,female,Ghana,GH,shared,field_partner,19,700,English,monthly,Food,funded,9,0.171
22052,Retail,group,Yemen,YE,shared,field_partner,27,850,English,monthly,Retail,funded,15,0.343
22053,Retail,female,Peru,PE,shared,field_partner,43,1100,Spanish,monthly,Retail,funded,14,0.009
22054,Home Appliances,group,Cambodia,KH,shared,field_partner,5,175,English,monthly,Personal Use,funded,8,0.097
22055,Primary/secondary school costs,female,Peru,PE,shared,field_partner,5,200,Spanish,monthly,Education,funded,11,0.071
22056,Farming,group,Cambodia,KH,shared,field_partner,22,625,English,monthly,Agriculture,funded,8,0.274
22057,Animal Sales,female,Honduras,HN,shared,field_partner,14,400,Spanish,monthly,Agriculture,funded,11,0.112
22058,Farming,male,Philippines,PH,shared,field_partner,1,100,English,irregular,Agriculture,funded,7,0.055
22059,Farming,female,Philippines,PH,shared,field_partner,19,675,English,irregular,Agriculture,funded,8,0.055
22060,Agriculture,female,Tajikistan,TJ,shared,field_partner,5,150,Russian,monthly,Agriculture,funded,14,0.033
22061,Fishing,female,Philippines,PH,shared,field_partner,3,125,English,irregular,Food,funded,8,0.054
22062,Construction Supplies,group,Cambodia,KH,not shared,field_partner,16,600,English,monthly,Construction,funded,14,0.16
22063,General Store,female,Peru,PE,shared,field_partner,25,750,Spanish,monthly,Retail,funded,9,0.062
22064,Beauty Salon,group,Bolivia,BO,shared,field_partner,52,2275,Spanish,irregular,Services,not_funded,8,0.043
22065,Clothing Sales,female,Kenya,KE,shared,field_partner,10,275,English,irregular,Clothing,funded,14,0.02
22066,Food Stall,female,Pakistan,PK,shared,field_partner,14,400,English,monthly,Food,funded,14,0.184
22067,Food,female,Colombia,CO,shared,field_partner,27,700,Spanish,bullet,Food,funded,14,0.005
22068,Farming,female,Malawi,MW,shared,field_partner,3,100,English,monthly,Agriculture,funded,10,0.314
22069,Poultry,female,El Salvador,SV,shared,field_partner,11,300,Spanish,monthly,Agriculture,funded,14,0.077
22070,Retail,female,El Salvador,SV,shared,field_partner,30,800,Spanish,monthly,Retail,funded,17,0.054
22071,Cafe,female,Nicaragua,NI,shared,field_partner,18,475,Spanish,monthly,Food,funded,14,0.132
22072,Clothing Sales,group,Guatemala,GT,shared,field_partner,29,925,Spanish,monthly,Clothing,funded,14,0.082
22073,General Store,female,Philippines,PH,shared,field_partner,1,125,English,irregular,Retail,funded,7,0.054
22074,Fruits & Vegetables,male,El Salvador,SV,shared,field_partner,9,1500,Spanish,monthly,Food,funded,32,0.054
22075,Dairy,male,Nicaragua,NI,not shared,field_partner,16,575,Spanish,monthly,Agriculture,funded,16,0.112
22076,Plastics Sales,female,Philippines,PH,not shared,field_partner,8,450,English,irregular,Retail,funded,13,0.422
22077,Jewelry,group,Nicaragua,NI,not shared,field_partner,9,375,Spanish,irregular,Retail,funded,7,0.161
22078,Home Appliances,group,Cambodia,KH,shared,field_partner,10,300,English,monthly,Personal Use,funded,14,0.696
22079,Farm Supplies,female,Cambodia,KH,shared,field_partner,25,750,English,monthly,Agriculture,funded,14,0.16
22080,Weaving,group,Guatemala,GT,shared,field_partner,9,275,Spanish,monthly,Arts,funded,8,0.082
22081,Auto Repair,male,Senegal,SN,not shared,field_partner,29,950,French,monthly,Services,funded,14,0.449
22082,General Store,male,Colombia,CO,not shared,field_partner,18,575,Spanish,monthly,Retail,funded,15,0.005
22083,Sewing,female,Tajikistan,TJ,shared,field_partner,15,575,Russian,monthly,Services,funded,14,0.021
22084,Construction,female,Nicaragua,NI,not shared,field_partner,13,325,Spanish,monthly,Construction,funded,11,0.161
22085,Pigs,female,El Salvador,SV,shared,field_partner,7,275,Spanish,bullet,Agriculture,funded,14,0.054
22086,General Store,female,Colombia,CO,shared,field_partner,15,1275,Spanish,monthly,Retail,not_funded,21,0.009
22087,Charcoal Sales,female,Togo,TG,shared,field_partner,9,325,English,monthly,Retail,funded,14,0.067
22088,Spare Parts,male,Uganda,UG,shared,field_partner,8,800,English,monthly,Retail,not_funded,14,0.417
22089,Beverages,female,Sierra Leone,SL,shared,field_partner,18,475,English,irregular,Food,funded,11,0.423
22090,General Store,female,Kenya,KE,shared,field_partner,11,275,English,monthly,Retail,funded,8,0.02
22091,Blacksmith,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Manufacturing,funded,9,0.055
22092,Charcoal Sales,female,Uganda,UG,shared,field_partner,18,475,English,irregular,Retail,funded,7,0.013
22093,Motorcycle Transport,female,Philippines,PH,shared,field_partner,1,225,English,irregular,Transportation,funded,6,0.029
22094,Food Market,female,Liberia,LR,shared,field_partner,15,375,English,irregular,Food,funded,11,0.527
22095,Food,female,Togo,TG,shared,field_partner,39,1075,French,monthly,Food,funded,14,0.067
22096,Primary/secondary school costs,male,Sierra Leone,SL,shared,field_partner,11,350,English,monthly,Education,funded,1 Year,0.423
22097,Farming,female,Cameroon,CM,not shared,field_partner,10,250,English,irregular,Agriculture,funded,19,0.167
22098,Fuel/Firewood,female,Kenya,KE,shared,field_partner,9,250,English,monthly,Retail,funded,13,0.02
22099,Dairy,female,Pakistan,PK,shared,field_partner,12,300,English,monthly,Agriculture,funded,14,0.039
22100,General Store,female,Kenya,KE,shared,field_partner,14,400,English,monthly,Retail,funded,14,0.02
22101,Retail,female,Sierra Leone,SL,shared,field_partner,1,150,English,irregular,Retail,funded,11,0.319
22102,Taxi,male,Bolivia,BO,not shared,field_partner,36,1000,Spanish,monthly,Transportation,funded,14,0.077
22103,Beauty Salon,female,Sierra Leone,SL,shared,field_partner,18,675,English,monthly,Services,not_funded,14,0.423
22104,Farm Supplies,male,El Salvador,SV,shared,field_partner,6,200,Spanish,monthly,Agriculture,funded,8,0.077
22105,Higher education costs,male,Nicaragua,NI,shared,field_partner,13,425,Spanish,monthly,Education,funded,18,0.077
22106,Transportation,male,Colombia,CO,shared,field_partner,18,500,Spanish,monthly,Transportation,funded,14,0.009
22107,Farming,female,Philippines,PH,shared,field_partner,7,275,English,monthly,Agriculture,funded,8,0.497
22108,Food Production/Sales,female,Dominican Republic,DO,not shared,field_partner,14,600,English,irregular,Food,funded,9,0.043
22109,General Store,female,Philippines,PH,not shared,field_partner,8,225,English,irregular,Retail,funded,11,0.093
22110,General Store,female,Philippines,PH,not shared,field_partner,6,150,English,irregular,Retail,funded,7,0.039
22111,Farm Supplies,group,Cambodia,KH,shared,field_partner,36,975,English,monthly,Agriculture,funded,14,0.16
22112,General Store,female,Bolivia,BO,shared,field_partner,8,725,Spanish,irregular,Retail,funded,10,0.077
22113,Charcoal Sales,female,Kenya,KE,shared,field_partner,10,250,English,monthly,Retail,funded,8,0.223
22114,Home Appliances,group,Cambodia,KH,shared,field_partner,3,100,English,monthly,Personal Use,funded,8,0.121
22115,Personal Housing Expenses,female,Guatemala,GT,shared,field_partner,29,800,Spanish,monthly,Housing,funded,20,0.082
22116,Farming,female,Cambodia,KH,not shared,field_partner,21,1000,English,monthly,Agriculture,funded,17,0.121
22117,Farming,female,Cambodia,KH,shared,field_partner,28,750,English,monthly,Agriculture,funded,26,0.16
22118,Food Production/Sales,female,Peru,PE,shared,field_partner,2,1075,Spanish,irregular,Food,funded,6,0.062
22119,Livestock,group,Vietnam,VN,not shared,field_partner,50,1550,English,irregular,Agriculture,funded,13,0.013
22120,Taxi,female,Pakistan,PK,shared,field_partner,8,200,English,irregular,Transportation,funded,1 Year,0.039
22121,Phone Use Sales,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Retail,funded,8,0.055
22122,Animal Sales,male,Peru,PE,shared,field_partner,7,175,Spanish,monthly,Agriculture,funded,1 Year,0.038
22123,Farming,male,Philippines,PH,shared,field_partner,9,250,English,bullet,Agriculture,funded,6,0.027
22124,Cloth & Dressmaking Supplies,group,Nicaragua,NI,not shared,field_partner,44,2925,Spanish,irregular,Retail,not_funded,8,0.161
22125,Charcoal Sales,male,Kenya,KE,shared,field_partner,19,1225,English,monthly,Retail,not_funded,20,0.242
22126,Tailoring,female,Togo,TG,not shared,field_partner,13,1000,French,monthly,Services,funded,16,0.067
22127,General Store,female,Philippines,PH,shared,field_partner,29,1025,English,irregular,Retail,funded,8,0.422
22128,Clothing Sales,female,Kenya,KE,shared,field_partner,5,150,English,irregular,Clothing,funded,14,0.075
22129,Retail,female,Philippines,PH,shared,field_partner,14,500,English,irregular,Retail,funded,7,0.422
22130,Jewelry,group,Sierra Leone,SL,shared,field_partner,18,650,English,monthly,Retail,funded,10,0.423
22131,Primary/secondary school costs,female,El Salvador,SV,shared,field_partner,5,600,Spanish,monthly,Education,funded,14,0.077
22132,Grocery Store,male,Philippines,PH,shared,field_partner,10,1400,English,irregular,Food,not_funded,14,0.039
22133,Fuel/Firewood,female,Philippines,PH,shared,field_partner,10,375,English,irregular,Retail,funded,8,0.055
22134,Paper Sales,female,Guatemala,GT,shared,field_partner,13,875,Spanish,monthly,Retail,funded,13,0.082
22135,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.121
22136,Transportation,male,Peru,PE,shared,field_partner,40,1100,Spanish,monthly,Transportation,funded,14,0.009
22137,Agriculture,female,Honduras,HN,shared,field_partner,18,525,Spanish,monthly,Agriculture,funded,14,0.077
22138,Cosmetics Sales,female,Kenya,KE,shared,field_partner,8,500,English,irregular,Retail,not_funded,11,0.223
22139,Timber Sales,female,Nigeria,NG,not shared,field_partner,18,800,English,monthly,Construction,funded,11,0.107
22140,Food Market,female,Togo,TG,shared,field_partner,10,425,French,monthly,Food,funded,14,0.067
22141,Transportation,female,Peru,PE,not shared,field_partner,12,325,Spanish,monthly,Transportation,funded,5,0.071
22142,Farming,group,Cambodia,KH,shared,field_partner,34,1200,English,monthly,Agriculture,not_funded,25,0.274
22143,Fishing,female,Philippines,PH,shared,field_partner,2,175,English,irregular,Food,funded,8,0.055
22144,Livestock,group,Burkina Faso,BF,shared,field_partner,35,1000,French,irregular,Agriculture,funded,8,0.554
22145,Motorcycle Transport,female,Philippines,PH,shared,field_partner,8,300,English,irregular,Transportation,funded,8,0.055
22146,Food Stall,female,Philippines,PH,not shared,field_partner,19,700,English,irregular,Food,funded,6,0.422
22147,Farming,female,Kenya,KE,shared,field_partner,5,200,English,monthly,Agriculture,funded,14,0.19
22148,Manufacturing,male,Colombia,CO,shared,field_partner,14,400,Spanish,bullet,Manufacturing,funded,15,0.005
22149,Food,female,Nicaragua,NI,shared,field_partner,15,400,Spanish,monthly,Food,funded,13,0.161
22150,Pigs,female,Philippines,PH,shared,field_partner,3,150,English,irregular,Agriculture,funded,7,0.055
22151,Clothing Sales,group,Vietnam,VN,shared,field_partner,46,1250,English,irregular,Clothing,funded,14,0.013
22152,Pub,female,Uganda,UG,shared,field_partner,6,250,English,irregular,Food,funded,7,0.013
22153,Higher education costs,female,Cambodia,KH,shared,field_partner,39,1000,English,monthly,Education,funded,38,0.121
22154,Fish Selling,male,Philippines,PH,not shared,field_partner,6,225,English,irregular,Food,funded,11,0.093
22155,Retail,female,Colombia,CO,shared,field_partner,7,275,Spanish,monthly,Retail,funded,15,0.009
22156,Retail,male,Colombia,CO,shared,field_partner,5,625,Spanish,bullet,Retail,not_funded,14,0.005
22157,Tailoring,female,India,IN,shared,field_partner,8,250,English,bullet,Services,funded,43,0.121
22158,Retail,female,Colombia,CO,shared,field_partner,29,850,Spanish,monthly,Retail,funded,20,0.005
22159,Fish Selling,female,Philippines,PH,not shared,field_partner,10,375,English,irregular,Food,funded,8,0.055
